playerid,rank
27468,63
20349,832
19447,21
10243,832
19683,832
20631,832
11674,63
12970,28
17295,11
18335,605
13074,15
10200,832
20548,832
15402,832
19388,50
13781,103
13050,832
14309,77
16300,832
5273,832
10847,832
12768,59
19514,832
9817,2592
8418,832
16357,832
6893,59
22092,832
13543,24
21390,72
19350,93
17606,31
19278,2468
11762,66
26410,17
2036,21
14151,2468
4806,93
11486,93
17556,112
9013,832
16587,103
11602,832
10953,832
13475,2381
20020,103
19266,832
12890,832
9803,47
17464,832
23796,832
15467,605
15145,832
14509,2468
17995,15
19932,103
15674,832
13345,832
13696,832
13763,832
20633,2561
19682,832
13758,2468
15605,832
19928,832
19199,832
11804,112
18655,72
12304,50
16400,77
12325,832
16377,605
19868,605
19268,2561
10762,832
18371,832
19361,10
6632,59
21032,59
14875,2592
11121,2381
21850,605
14566,832
16835,832
21541,832
17874,26
19903,832
7274,2381
17277,63
6562,24
19911,112
25512,832
17169,832
16122,112
13185,832
14691,832
10078,112
16162,28
11847,112
25078,832
20572,832
9929,832
18694,2561
19269,2468
21483,28
15126,2381
19705,2592
19853,103
26231,832
7836,832
5358,2381
23252,2561
16943,2561
18000,26
10310,17
13431,77
17780,103
21635,832
26213,832
6902,21
19635,832
14288,832
16511,50
13743,7
19285,832
11836,58
17479,832
7432,832
3298,832
22294,832
27498,8
12572,832
2429,39
19755,6
2520,85
19665,43
3137,11
17490,2592
14646,832
22224,2468
12910,832
1943,85
14706,832
22267,43
20387,832
14765,35
22250,35
6107,832
22815,2519
20227,832
13273,37
17312,54
23324,832
20582,832
19427,8
12800,2519
20277,2468
19959,66
18815,832
25385,43
14710,39
25075,832
25636,2519
19535,832
19454,832
17677,39
20802,832
20348,832
8110,2381
16256,54
15451,2617
7738,832
21955,832
19357,832
19848,2468
20373,85
16358,72
16929,832
14107,4
5003,2519
21092,832
17594,72
15106,832
13834,2519
22176,832
27515,832
25436,39
18593,2468
16502,832
18684,4
19717,832
17578,85
11801,2561
18679,77
5497,832
25942,2381
11156,33
13807,832
10688,832
18525,11
18138,77
13324,832
25427,832
16350,2519
19516,832
17888,2381
18152,832
17092,832
15444,832
16137,2
10131,832
14916,93
6986,2617
11632,2561
2233,47
19422,832
24094,832
17085,47
16933,2617
24580,2519
18699,832
18421,832
16149,1
20962,2636
15474,93
19459,832
3321,832
19191,832
15816,66
23465,2561
11423,19
25377,43
17381,832
10030,832
20555,2592
19312,66
20370,2592
12880,19
13293,832
12198,832
18454,2468
20132,2643
22210,832
17734,66
20100,832
26304,2468
13125,33
20009,832
25376,832
13424,2519
10160,832
20231,2381
19789,2468
10123,93
3281,2617
19291,14
7115,93
26378,93
10021,2381
10954,66
19453,832
20667,832
8700,3
5372,2381
22276,380
21025,1933
12918,502
16337,1933
13620,1467
16265,1933
19457,1467
15541,305
18064,1467
17639,305
10354,1467
18674,305
17480,1467
23425,1933
19178,502
20468,1933
16094,502
11490,502
11489,1467
8202,1467
17179,1467
15585,1467
12272,1933
20042,1933
21846,502
12664,1933
17285,1467
25880,305
20070,305
17871,305
20541,502
21448,305
21298,502
23313,1467
19407,1467
26108,305
22713,1933
13594,502
15117,1467
16990,436
26260,335
19716,436
19314,1467
17034,1467
5097,1933
19962,335
13183,335
23429,335
8779,335
19800,1467
14975,335
14375,335
20203,305
15551,436
9784,436
16279,1933
17192,305
24937,1933
19574,1933
15043,502
20039,502
21018,1933
11281,1467
27517,1933
17117,502
21205,305
22052,1933
19677,305
19876,335
14524,335
17610,436
