Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,F-Strike%,SIERA,playerid
Justin Verlander,HOU,18,4,0,28,28,175,9.51,1.49,0.62,0.24,80.50%,37.90%,6.20%,95.1,1.75,2.66,2.49,3.23,6.1,62.00%,3.09,8700
Julio Urias,LAD,17,7,0,31,31,175,8.54,2.11,1.18,0.229,86.60%,39.70%,10.80%,93.1,2.16,2.81,3.71,3.81,3.2,66.60%,3.66,14765
Dylan Cease,CHW,14,8,0,32,32,184,11.1,3.82,0.78,0.26,82.30%,38.80%,8.40%,96.9,2.2,2.7,3.1,3.5,4.4,58.20%,3.48,18525
Alek Manoah,TOR,16,7,0,31,31,196.2,8.24,2.33,0.73,0.244,82.60%,37.50%,7.10%,93.9,2.24,3.31,3.35,3.98,4.1,61.70%,3.85,26410
Sandy Alcantara,MIA,14,9,0,32,32,228.2,8.15,1.97,0.63,0.262,78.80%,53.40%,8.50%,98,2.28,2.92,2.99,3.29,5.7,62.40%,3.42,18684
Shohei Ohtani,LAA,15,9,0,28,28,166,11.87,2.39,0.76,0.289,83.10%,41.90%,9.30%,97.4,2.33,2.68,2.4,2.65,5.6,60.60%,2.73,19755
Max Fried,ATL,14,7,0,30,30,185.1,8.26,1.55,0.58,0.28,78.20%,51.20%,7.80%,94,2.48,2.85,2.7,3.09,5,61.50%,3.31,13743
Shane McClanahan,TBR,12,8,0,28,28,166.1,10.5,2.06,1.03,0.251,80.50%,50.20%,15.70%,97,2.54,2.79,3,2.6,3.5,62.70%,2.82,21483
Zac Gallen,ARI,12,4,0,31,31,184,9.39,2.3,0.73,0.237,78.00%,46.00%,9.10%,93.9,2.54,3.17,3.05,3.32,4.3,64.60%,3.32,19291
Tyler Anderson,LAD,15,5,0,30,28,178.2,6.95,1.71,0.71,0.256,77.80%,40.10%,6.40%,90.7,2.57,3.1,3.31,4.11,4,66.10%,4.04,12880
Framber Valdez,HOU,17,6,0,31,31,201.1,8.67,3,0.49,0.285,75.70%,66.50%,12.50%,94,2.82,3.31,3.06,3,4.4,59.30%,3.14,17295
Shane Bieber,CLE,13,8,0,31,31,200,8.91,1.62,0.81,0.287,75.80%,48.20%,10.40%,91.5,2.88,3.51,2.87,2.98,4.9,66.00%,3.21,19427
Carlos Rodon,SFG,14,8,0,31,31,178,11.98,2.63,0.61,0.293,75.10%,34.10%,6.50%,95.5,2.88,2.64,2.25,2.91,6.2,61.50%,2.83,16137
